uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Résultat net comptable hors SIE;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Subventions de la région;Subventions Union Européenne;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0595876S;2017;364847.0;;;;;-1881344.0;16.5212334671858;900906.0;4552112.0;83.4787481943489;;;;2373084.0;43.518718713432;;;223.4407765;2825354.0;;3802238.0;307821.0;5453019.0;69.7272098263366;307821.0;-184305.0;;;;4706698.0;372.22530553;;;E;institut d'études politiques;GR20;instituts d'études politiques;0595876S;Institut d'études politiques de Lille;59350;Lille;A09;Lille;R32;Hauts-de-France
0650048Z;2017;1401279.0;;;;;-367318.0;2.75430077559339;445415.0;15900487.0;98.3234145154802;;;;12923560.0;79.9150709595045;;;62.124655679;2743923.0;;2675523.0;271121.0;16171618.0;16.5445597342208;271121.0;-1503472.0;;;;3111241.0;70.441034919;;2011;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0650048Z;École nationale d'ingénieurs de Tarbes;65440;Tarbes;A16;Toulouse;R76;Occitanie
0660437S;2017;4531039.0;;;;;-8212536.0;1.74627757382305;1197046.0;67351392.0;98.253722426177;;;;56547988.0;82.4934741766107;;;49.878030138;9331541.0;;9340578.0;100770.0;68548438.0;13.6262448460168;100770.0;2007181.0;;;;17544077.0;93.77486541;;2012;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0660437S;Université de Perpignan - Via Domitia;66136;Perpignan;A11;Montpellier;R76;Occitanie
0692437Z;2017;13428479.0;;;;;-2061806.0;1.62714637024447;1791384.0;108302215.0;98.3728536297555;;;;92207464.0;83.7537012483351;;;31.18525803;9381757.0;;21324636.0;381096.0;110093599.0;19.3695511761769;381096.0;-3250004.0;;;;11443563.0;38.038766612;;2010;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0692437Z;Université Jean Moulin - Lyon 3;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0692459Y;2017;229829.0;;;;;776846.0;16.4858884028642;460104.0;2330792.0;83.5141115971358;;;;912252.0;32.6867070646846;;;385.03883658;2492904.0;;552981.0;131687.0;2790896.0;19.8137444032311;131687.0;228617.0;;;;1716058.0;265.05191368;;;A;autres établissements;GR60;autres établissements d'enseignement et de recherche;0692459Y;École nationale supérieure des sciences de l'information et des bibliothèques;69266;Villeurbanne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0693735K;2017;294088.0;;;;;21086.0;2.33310568031436;46050.0;1927715.0;97.6669449843041;;;;512224.0;25.9516335286285;;;69.044687622;369718.0;;610307.0;19531.0;1973764.0;30.9209713015335;19531.0;-296234.0;;;;348632.0;65.106885613;;;A;autres établissements;GR60;autres établissements d'enseignement et de recherche;0693735K;École nationale supérieure des arts et techniques du théâtre;69385;Lyon 5e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0694094A;2017;33255118.0;;;;;-663392.0;3.92693500933916;1675299.0;40986446.0;96.0730649906608;;;;13466791.0;31.566432643578;;;330.6833581;37648710.0;;37437319.0;1340065.0;42661745.0;87.7538389486881;1340065.0;-20969512.0;;;;38312102.0;336.51018973;;;A;communauté d'universités et établissements;;communauté d'universités et établissements;0694094A;Université de Lyon;69387;Lyon 7e;A10;Lyon;R84;Auvergne-Rhône-Alpes
0720916E;2017;4716208.0;;;;;-1857450.0;1.20679387213665;1027537.0;84118487.0;98.7932061278634;;;;72977689.0;85.708862929407;;;38.203709964;8926773.0;;13518345.0;;85146024.0;15.8766603124064;;-740777.0;;;;10784223.0;46.152997022;;2011;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0720916E;Le Mans Université;72181;Le Mans;A17;Nantes;R52;Pays de la Loire
0751717J;2017;4257280.0;;;;;-14690029.0;1.58451334696417;3306125.0;205346207.0;98.4154578970751;;;;168267259.0;80.6447783258579;;;23.556924234;13437014.0;;30862076.0;518771.0;208652392.0;15.5305466136233;576354.0;2183756.0;;;;28127043.0;49.310555222;;2011;D;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0751717J;Université Paris 1 - Panthéon Sorbonne;75105;Paris 5e;A01;Paris;R11;Île-de-France
0751721N;2017;18458918.0;;;;;-23022887.0;3.23582583911805;9757900.0;291800357.0;96.764174160882;;;;244287106.0;81.0082630236187;;;28.393003645;23014135.0;;65037271.0;4318759.0;301558257.0;21.5670668901631;4318759.0;6996838.0;;;;46037022.0;56.79680481;;2009;D;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0751721N;Université Paris Descartes;75106;Paris 6e;A01;Paris;R11;Île-de-France
0751723R;2017;13034004.0;;;;;-25493705.0;3.49975540637342;10426209.0;287486296.0;96.5002445936266;;;;235718829.0;79.1235094344227;;;53.265548212;42536431.0;;40386632.0;4877890.0;297912505.0;13.5565413744549;4877890.0;-5010653.0;;;;68030136.0;85.189622256;;2009;D;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0751723R;Université Paris Diderot;75113;Paris 13e;A01;Paris;R11;Île-de-France
0753364Z;2017;177892.0;;;;;1814918.0;14.9048958430049;1600498.0;9137571.0;85.0951041569951;;;;2201923.0;20.5057631870311;;;309.87278786;7865235.0;;10296021.0;1136773.0;10738069.0;95.8833566817274;1136773.0;807264.0;;;;6050317.0;238.36905016;;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753364Z;Institut d'administration des entreprises de Paris;75105;Paris 5e;A01;Paris;R11;Île-de-France
0753428U;2017;1301000.0;;;;;-1030456.0;19.0641848873572;2553435.0;10840450.0;80.9358151126428;;;;4811544.0;35.9234381958633;;;348.16901143;10484191.0;;;1613435.0;13393885.0;;1613435.0;1200557.0;;;;11514647.0;382.38937682;;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753428U;Institut de physique du globe;75105;Paris 5e;A01;Paris;R11;Île-de-France
0753486G;2017;207882.0;;;;;-1270450.0;2.34574630575488;887213.0;36934992.0;97.6542510502957;;;;32119683.0;84.9228175638407;;;42.548831742;4365391.0;;4721475.0;665461.0;37822206.0;12.4833411356281;665461.0;-807278.0;;;;5635841.0;54.931723283;;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753486G;École pratique des hautes études;75114;Paris 14e;A01;Paris;R11;Île-de-France
0755581J;2017;507249.0;;;;;337760.0;;-502780.0;1310048.0;162.281671018794;;;;478432.0;59.2655722758737;;;259.49690393;944315.0;;458432.0;;807268.0;56.7880802905603;;292474.0;;;;606555.0;166.68076284;;;D;communauté d'universités et établissements;;communauté d'universités et établissements;0755581J;Hautes Études-Sorbonne-Arts et Métiers;75105;Paris 5e;A01;Paris;R11;Île-de-France
075CAMPU;2017;1493532.0;;;;;-42120376.0;11.4871616254349;3046058.0;23471007.0;88.5128421457217;;;;13926156.0;52.5177146308505;;;176.86383205;11531034.0;;20216004.0;109262.0;26517064.0;76.2377162117194;109262.0;307227.0;;;;53651410.0;822.90920027;;;;;;;075CAMPU;;;;;;;
0772428W;2017;187453.0;;;;;29782.0;;-137924.0;1124124.0;113.98539849929;;;;88182.0;8.94159399716082;;;179.07479958;559173.0;;305888.0;;986200.0;31.0168322855405;;-267598.0;;;;529391.0;169.53713291;;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0772428W;CTLES - Centre technique du livre de l'enseignement supérieur;;;;;;
0840685N;2017;2275195.0;;;;;-2017889.0;4.21561801263117;2309150.0;52466923.0;95.7843819873688;;;;45332393.0;82.7594796728126;;;55.762343829;8126885.0;;6004971.0;1523227.0;54776073.0;10.9627628837138;1523227.0;3333553.0;;;;10144774.0;69.608020276;;2010;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0840685N;Université d'Avignon et des Pays de Vaucluse;84007;Avignon;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0911101C;2017;46988271.0;;;;;-41582567.0;3.53698217411621;11943371.0;325727853.0;96.4630178258838;;;;272217963.0;80.6162751374988;;;56.881081152;51465979.0;;55942504.0;5853337.0;337671224.0;16.5671517215219;5853337.0;12494557.0;;;;93048546.0;102.83884615;;2010;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0911101C;Université Paris-Sud;91471;Orsay;A25;Versailles;R11;Île-de-France
0922605G;2017;230245.0;;;;;-409190.0;42.2732034229906;1225988.0;1674166.0;57.7267965770094;;;;216463.0;7.46384502340221;;;345.62422125;1607312.0;;1776467.0;1094672.0;2900154.0;61.254229947789;1094672.0;750734.0;;;;2016502.0;433.61334539;;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0922605G;Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et les enseignements adaptés;92073;Suresnes;A25;Versailles;R11;Île-de-France
0931238R;2017;6263790.0;;;;;-5081868.0;1.75493556764227;3026385.0;168035286.0;97.4400481169255;;;;145934934.0;84.6245293437972;;;18.145871576;8469852.0;;25871395.0;596541.0;172449921.0;15.0022654982834;596541.0;-4422159.0;;;;13551720.0;29.03330197;;2010;D;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0931238R;Université Paris 13 - Paris Nord;93079;Villetaneuse;A24;Créteil;R11;Île-de-France
1340004B;2017;209296.0;;;;;205530.0;13.0668744317521;970390.0;6227577.0;83.8580021157136;;;;5039557.0;67.8606112085421;;;211.12815466;3652269.0;;981327.0;787706.0;7426336.0;13.2141475957996;787706.0;715115.0;;;;3446739.0;199.24700088;;;;école française à l'étranger;GR40;écoles françaises à l'étranger;1340004B;Casa de Velázquez de Madrid;99134;Madrid;A99;Étranger;R99;Étranger
9840349G;2017;1941494.0;;;;;-1916124.0;8.37668527175741;2403721.0;26291651.0;91.6233147282426;;;;22451342.0;78.2402890612465;;;111.24505038;8124489.0;;2321640.0;1914774.0;28695372.0;8.09064263045623;1914774.0;816113.0;;;;10040613.0;137.48169257;;2013;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;9840349G;Université de la Polynésie Française;98738;Punaauia;A41;Polynésie Française;R00;Collectivités d'outre-mer
0133774G;2018;1811775.0;160232.0;0.0;1098112.0;933643.0;-3098358.0;3.92320787054298;678713.0;16621237.0;96.076792129457;;;32750.0;13491281.0;77.9845086257475;635705.0;;51.3915685096121;2372754.0;0.0;3415456.0;75411.0;17299950.0;17.2324197468779;75411.0;203685.0;115524.0;179929.0;259561.0;5471112.0;118.499021462723;0.0;2014;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0133774G;École centrale de Marseille;13213;Marseille 13e;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0141720U;2018;2825771.0;0.0;529164.0;1108624.0;1626701.0;-1711597.0;9.18864718193745;1498370.0;14802542.0;90.775533302062;;;341404.0;11088934.0;68.0020970453161;449725.0;;117.701510997233;4839671.0;23463.0;6720340.0;552624.0;16306753.0;25.5389530950766;552624.0;1449681.0;2330007.0;66782.0;244470.0;6551268.0;159.327801941045;0.0;2012;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0141720U;École nationale supérieure d'ingénieurs de Caen;14118;Caen;A05;Caen;R28;Normandie
0251985X;2018;718408.0;424062.0;14668361.0;384744.0;89321.0;-17898470.0;5.73642240656344;335167.0;5507621.0;94.2635775934366;;;;2977452.0;50.9594392266158;;;43.4047513436382;664047.0;;19042935.0;306177.0;5842788.0;96.2860196194009;306177.0;13178418.0;319415.0;3157032.0;;18562517.0;1213.31989256341;;;C;communauté d'universités et établissements;;communauté d'universités et établissements;0251985X;Université Bourgogne - Franche-Comté;25056;Besançon;A03;Besançon;R27;Bourgogne-Franche-Comté
0311382J;2018;14712560.0;220883.0;997007.0;6469913.0;10002737.0;-11842742.0;9.33403564241585;9743528.0;94643560.0;90.6659643575841;;;10028.0;79452502.0;76.1133426770177;2230647.0;;122.709775498724;32260250.0;8996440.0;30790089.0;8767667.0;104387088.0;18.915938147446;8767667.0;5987871.0;649856.0;605959.0;514913.0;44102992.0;167.756550155129;91706.0;2009;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0311382J;Université Toulouse 1 - Capitole;31555;Toulouse;A16;Toulouse;R76;Occitanie
0311383K;2018;7244577.0;183327.0;261968.0;3787076.0;3128955.0;-9387249.0;1.93993389685016;3446661.0;174157581.0;98.0236219272297;;;251486.0;146227435.0;82.303295219911;3610033.0;;56.3334402307758;27252488.0;1925857.0;16587112.0;1441248.0;177668992.0;5.45635278889858;1441248.0;3895186.0;1728299.0;196568.0;1159867.0;36639737.0;75.7377614242357;353676.0;2011;A;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0311383K;Université Toulouse - Jean Jaurès;31555;Toulouse;A16;Toulouse;R76;Occitanie
0311384L;2018;22076627.0;5510098.0;1861322.0;3677384.0;22031161.0;-6582543.0;2.78337755616138;9640201.0;336708823.0;97.2166224438386;;;935745.0;282887867.0;81.6771081762887;5467819.0;;19.2278542104018;17983856.0;10885808.0;67793677.0;4099744.0;346349024.0;15.7052981907638;4622912.0;2805741.0;3131117.0;3124334.0;4510721.0;24566399.0;26.2657318011533;6658168.0;2010;A;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0311384L;Université de Toulouse 3 - Paul Sabatier;31555;Toulouse;A16;Toulouse;R76;Occitanie
0333232J;2018;2978220.0;318315.0;15981.0;1955171.0;396548.0;-1022496.0;16.3222427739278;2239390.0;11033545.0;80.4202037818588;;;559332.0;4484614.0;32.6870078259505;785252.0;;345.161410951784;10578761.0;790185.0;7581108.0;309712.0;13719867.0;49.8299728415735;309712.0;610777.0;1446039.0;900377.0;413908.0;11601257.0;378.523178180721;;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0333232J;Institut polytechnique de Bordeaux;33522;Talence;A04;Bordeaux;R75;Nouvelle-Aquitaine
0341089Z;2018;18162370.0;151769.0;2693376.0;2346181.0;1337134.0;-8879173.0;4.28393227680688;4678337.0;104528267.0;95.7160668074976;;;132152.0;90469266.0;82.8423024413221;3371763.0;;61.5760917570747;17879006.0;3965110.0;18117852.0;3852403.0;109206605.0;14.6726830304815;3962753.0;3110989.0;2490545.0;1341011.0;147928.0;26758179.0;92.1563584326908;140883.0;2012;E;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0341089Z;Université Montpellier 3 - Paul-Valéry;34172;Montpellier;A11;Montpellier;R76;Occitanie
0370800U;2018;12837891.0;1475236.0;360000.0;4357142.0;7310853.0;-16084011.0;3.6259880605022;6987664.0;185722953.0;96.374011420585;;;104002.0;159015495.0;82.5151704925776;3676041.0;;64.3653618839455;33205903.0;2988252.0;36144593.0;2866545.0;192710618.0;15.4658675839024;2866545.0;1200370.0;12013457.0;843118.0;1286269.0;49289914.0;95.5421435712365;1730223.0;2010;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0370800U;Université François-Rabelais;37261;Tours;A18;Orléans-Tours;R24;Centre-Val de Loire
0421095M;2018;7300171.0;911415.0;0.0;5092656.0;5469417.0;-5484207.0;4.59316628448846;5927910.0;123131427.0;95.4068329406742;;;0.0;103833322.0;80.4539397218975;2170703.0;;55.1854775466868;18875185.0;4566397.0;26239169.0;2313136.0;129059338.0;17.3997955885997;2313136.0;2395249.0;1855049.0;3304505.0;851731.0;24359392.0;71.2196823642757;2017296.0;2009;A;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0421095M;Université Jean Monnet;42218;Saint-Étienne;A10;Lyon;R84;Auvergne-Rhône-Alpes
0590349J;2018;;199469.0;196094.0;690009.0;234239.0;;;;;;;;3309994.0;;;530428.0;;;;473523.0;6754429.0;;;;;;53714.0;189977.0;876982.0;;;0.0;2012;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590349J;École centrale de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France
0596870X;2018;21924150.0;6629850.0;0.0;2172223.0;1687734.0;-6187633.0;4.81177690767075;1643373.0;32509769.0;95.1882230923293;;;0.0;24097954.0;70.5585272359422;38026.0;;93.3842759694786;8433059.0;360530.0;12318937.0;993499.0;34153142.0;10.9543244952397;993499.0;-1070970.0;860807.0;447027.0;62978.0;14620692.0;161.903614879577;59762.0;;E;communauté d'universités et établissements;;communauté d'universités et établissements;0596870X;Université Lille Nord de France;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France
0601223D;2018;4453834.0;458470.0;1872047.0;4087138.0;1940961.0;5547200.0;5.48385618561466;3458480.0;59604478.0;94.5104165328795;;;67010.0;46810360.0;74.2237289898595;1515897.0;;145.009988679039;24009013.0;2082115.0;18310276.0;2907936.0;63066570.0;24.4892611093326;2907936.0;1679667.0;4250155.0;179949.0;1681322.0;18461813.0;111.505928799511;175212.0;2010;C;université technologique;GR50;écoles d'ingénieurs;0601223D;Université de technologie de Compiègne;60159;Compiègne;A20;Amiens;R32;Hauts-de-France
0632033T;2018;4611558.0;136176.0;0.0;553214.0;409708.0;-2166568.0;8.51983708898399;1414668.0;15189736.0;91.4801749560147;;;327940.0;12542760.0;75.5387637567435;440234.0;;83.2654418746975;3513278.0;450.0;2633676.0;693572.0;16604402.0;17.6459110060091;693572.0;-3184973.0;24889.0;8540.0;204931.0;5679846.0;134.613568004079;527594.0;2016;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0632033T;SIGMA Clermont;63014;Aubière;A06;Clermont-Ferrand;R84;Auvergne-Rhône-Alpes
0650048Z;2018;1963248.0;313136.0;61027.0;262508.0;839325.0;917951.0;3.00488072456488;521725.0;16840861.0;96.9951192754351;;;538287.0;13784471.0;79.391808340071;589982.0;;62.1562306107746;2907679.0;873050.0;5421541.0;109896.0;17362586.0;21.5903149450203;109896.0;379624.0;734865.0;650815.0;245192.0;1989728.0;42.5335783010144;313354.0;2011;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0650048Z;École nationale d'ingénieurs de Tarbes;65440;Tarbes;A16;Toulouse;R76;Occitanie
0751717J;2018;3886076.0;349158.0;1988121.0;7182766.0;7351899.0;-13156930.0;3.75729469969028;8144484.0;208620094.0;96.2427053003097;;;20207.0;169424047.0;78.1603934384519;8135273.0;;38.185713596697;22128631.0;6137110.0;35698425.0;5302377.0;216764578.0;16.7982404394504;5497453.0;7060315.0;632844.0;2334904.0;875342.0;35285561.0;60.8896377929923;690801.0;2011;D;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0751717J;Université Paris 1 - Panthéon Sorbonne;75105;Paris 5e;A01;Paris;R11;Île-de-France
0751718K;2018;2756728.0;53536.0;665609.0;5679245.0;1323803.0;-6356069.0;6.61872081780905;5881697.0;82982861.0;93.381279182191;;;51784.0;65750451.0;73.9895099686424;6219340.0;;113.97001412135;26270994.0;3183644.0;17626983.0;3675339.0;88864558.0;20.677460636219;3675339.0;3549835.0;;;450022.0;32627063.0;141.544200072832;;2010;D;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0751718K;Université Panthéon-Assas;75105;Paris 5e;A01;Paris;R11;Île-de-France
0753364Z;2018;447984.0;15169.0;;1769293.0;;2896737.0;13.5633873203044;1464789.0;9334792.0;86.4366126796956;;;238617.0;3059025.0;28.3254044763403;143130.0;;342.540054454347;8882056.0;6723855.0;9158414.0;1026897.0;10799581.0;92.5154596275541;1026897.0;-12987.0;30000.0;57633.0;180717.0;5985319.0;230.82622944357;;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753364Z;Institut d'administration des entreprises de Paris;75105;Paris 5e;A01;Paris;R11;Île-de-France
0753455Y;2018;7911893.0;4474359.0;6154011.0;7972426.0;6585838.0;-5474960.0;7.11483202317874;7921847.0;103420864.0;92.8851661805654;;;2806797.0;77866463.0;69.9340449877488;177868.0;;87.6403349328043;25177331.0;;31021766.0;4640719.0;111342713.0;25.6864631994372;4640719.0;3369008.0;655970.0;2187510.0;6987.0;30652291.0;106.698245723416;;2010;D;école normale supérieure;GR30;écoles normales supérieures;0753455Y;École normale supérieure de Paris;75105;Paris 5e;A01;Paris;R11;Île-de-France
0753471R;2018;4246790.0;985900.0;6300.0;9647990.0;2181963.0;-233955.0;4.53165122705975;6890692.0;144239163.0;94.8586266806035;;;1474303.0;110490587.0;72.6639362428479;406683.0;;93.0812930466048;37294355.0;25315843.0;48169900.0;2324752.0;152056980.0;27.310779156603;2324752.0;9310100.0;1930764.0;2596804.0;3548731.0;37528310.0;93.6652107444634;74619.0;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753471R;Conservatoire national des arts et métiers;75103;Paris 3e;A01;Paris;R11;Île-de-France
075CAMPU;2018;1843132.0;;;11922707.0;8899727.0;-42907559.0;12.549168538123;3361890.0;23427853.0;87.450831461877;;;;13481899.0;50.3248538069216;;;200.527358610283;13049793.0;;20822434.0;527708.0;26789743.0;79.2445489305366;527708.0;1360543.0;;;;55957352.0;859.858849208248;;;;;;;075CAMPU;;;;;;;
0760165S;2018;2495317.0;950474.0;0.0;3744959.0;835065.0;-5382413.0;5.98110416502272;2090480.0;32860926.0;94.0188958349773;;;1183615.0;25547220.0;73.0935402140904;697288.0;;53.2463339590613;4860344.0;912176.0;12268816.0;921890.0;34951406.0;29.603181056579;921890.0;1215034.0;2281593.0;1167277.0;496369.0;10242757.0;112.212069738996;0.0;2011;B;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0760165S;Institut national des sciences appliquées de Rouen;76575;Saint-Étienne-du-Rouvray;A21;Rouen;R28;Normandie
0772502B;2018;5447304.0;1040693.0;43674.0;8633493.0;1574294.0;-8625069.0;4.37459636602133;4164580.0;91034602.0;95.6254025835495;;;575674.0;74362724.0;78.112775400604;2204670.0;;64.6467957315835;16347487.0;1735103.0;17666944.0;1765483.0;95199183.0;17.4618988064215;1765483.0;-57274.0;556670.0;0.0;1092109.0;24972556.0;98.7549784641229;210564.0;2009;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0772502B;Université Paris-Est Marne-la-Vallée;77083;Champs-sur-Marne;A24;Créteil;R11;Île-de-France
0860073M;2018;1582256.0;599366.0;152568.0;511747.0;614234.0;-428623.0;6.65509827360128;1085367.0;15224777.0;93.353112015258;;;2170806.0;11956451.0;73.3128576863847;284443.0;;72.580018741818;3069485.0;202371.0;6085966.0;20487.0;16308805.0;31.405893932756;20487.0;684449.0;644585.0;703238.0;202608.0;3498108.0;82.7150952687189;0.0;2013;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0860073M;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;86062;Chasseneuil-du-Poitou;A13;Poitiers;R75;Nouvelle-Aquitaine
0870669E;2018;8487714.0;1858779.0;2191189.0;3010776.0;5672402.0;-4944382.0;2.26099964549134;3410869.0;146923309.0;97.3926437993995;;;140757.0;124167494.0;82.3082504533442;2716762.0;;27.0781750498146;11051153.0;2750783.0;31830786.0;1423919.0;150856680.0;17.0536962632347;1423919.0;1807890.0;9924704.0;682092.0;2795940.0;15995535.0;39.1931861540091;86602.0;2009;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0870669E;Université de Limoges;87085;Limoges;A22;Limoges;R75;Nouvelle-Aquitaine
0912266U;2018;834765.0;;;1960444.0;;-472137.0;13.8120110100382;974540.0;6081203.0;86.1879889899618;;;;4259700.0;60.3720968861819;;;139.180790379798;2351074.0;;1960444.0;788052.0;7055743.0;19.709533071145;788052.0;494370.0;;;;2823211.0;167.130740414356;;2015;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0912266U;École nationale supérieure d'informatique pour l'industrie et l'entreprise;91228;Évry;A25;Versailles;R11;Île-de-France
0912341A;2018;176798332.0;1634156.0;287097.0;24107549.0;3609405.0;-6788611.0;5.43369503018868;4896272.0;85211188.0;94.5641109709741;;;1993810.0;59917770.0;66.4944449713963;7563804.0;;250.471947416107;59286145.0;5726713.0;53417653.0;2185698.0;90109437.0;44.5290352885015;2185698.0;6104848.0;460567.0;1748240.0;2676305.0;66074756.0;279.152453079283;3610007.0;2015;C;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0912341A;CentraleSupélec;91272;Gif-sur-Yvette;A25;Versailles;R11;Île-de-France
0921204J;2018;7056572.0;162898.0;614462.0;5770947.0;4227357.0;-8198291.0;4.05502697168173;7740642.0;183149383.0;95.9449730283183;;;538295.0;153398893.0;80.3598265545829;6025539.0;;66.8231440342881;33996160.0;4357308.0;24229271.0;7449571.0;190890025.0;11.1139589404947;6607375.0;4595099.0;1615484.0;;530865.0;42194451.0;82.9377752258112;386116.0;2012;D;tertiaire (lettres et sciences humaines);GR15;universités tertiaires (lettres et sciences humaines);0921204J;Université Paris Nanterre;92050;Nanterre;A25;Versailles;R11;Île-de-France
0930603A;2018;1748254.0;0.0;0.0;297507.0;20000.0;-177091.0;17.6047843786786;691095.0;3234514.0;82.3952156213214;;;673141.0;1546751.0;39.4015552746083;166470.0;;107.507365867021;965928.0;340319.0;2014664.0;155892.0;3925609.0;48.3172165134123;155892.0;-456203.0;95011.0;259511.0;162705.0;1143019.0;127.217517067479;0.0;;D;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0930603A;Institut supérieur de mécanique de Paris;93070;Saint-Ouen;A24;Créteil;R11;Île-de-France
0931238R;2018;5810790.0;860109.0;2293958.0;7489461.0;3542378.0;-10161216.0;3.29971490761665;5810790.0;170288968.0;96.7002845245234;;;127260.0;146396961.0;83.1329706703346;3289465.0;;21.1607861761192;10009579.0;4974819.0;27308166.0;3209221.0;176099759.0;14.9572447739693;3209221.0;4170214.0;1433243.0;1919108.0;861783.0;20170795.0;42.6421410927806;516582.0;2010;D;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0931238R;Université Paris 13 - Paris Nord;93079;Villetaneuse;A24;Créteil;R11;Île-de-France
0932066R;2018;;;;0.0;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;E;autres établissements;GR60;autres établissements d'enseignement et de recherche;0932066R;École nationale supérieure Louis Lumière;93051;Noisy-le-Grand;A24;Créteil;R11;Île-de-France
0940607Z;2018;82284239.0;913875.0;57920099.0;1686677.0;1036535.0;-80716721.0;7.16104872697846;6152269.0;79759823.0;92.8379397841962;;;3040952.0;66827463.0;77.7850771550058;679679.0;;147.262122685503;32626669.0;976791.0;66872740.0;3735673.0;85912961.0;10.2956840237412;3735673.0;-16047050.0;42701.0;433589.0;141842.0;113343390.0;511.581130264043;0.0;2011;E;école normale supérieure;GR30;écoles normales supérieures;0940607Z;École normale supérieure de Cachan;94016;Cachan;A24;Créteil;R11;Île-de-France
1260001S;2018;274008.0;60689.0;;398903.0;20000.0;8854.0;0.309103117769904;17976.0;5797560.0;99.6909140775526;;;;3787494.0;65.1271809042504;;;149.67319355039;2410387.0;;479592.0;-204655.0;5815535.0;9.01911861935316;-204655.0;-287364.0;;;;2401533.0;149.123403638772;;;;école française à l'étranger;GR40;écoles françaises à l'étranger;1260001S;École française d'Athènes;;Athènes;A99;Étranger;R99;Étranger
