uai - identifiant;exercice;Acquisitions d'immobilisations;ANR hors investissements d'avenir;ANR investissements d'avenir;Autres ressources propres;Autres Subventions;Besoin en fonds de roulement;CAF / Produits encaissables;Capacité d'autofinancement;Charges de fonctionnement décaissables;Charges décaissables / Produits.encaissables;Charges externes;Charges externes / Produits.encaissables;Contrats et prestations de recherche hors ANR;Dépenses de personnel;Dépenses de personnel / Produits encaissables;Droits d'inscription;Excédent Brut d'Exploitation (EBE);Fonds de roulement en jours de charges décaissables;Fonds de roulement net global;Formation continue, diplômes propres et VAE;Ressources propres;Résultat net comptable hors SIE;Produits de fonctionnement encaissables;Ressources propres / Produits encaissables;Résultat net comptable;Solde budgétaire;Subventions de la région;Subventions Union Européenne;Taxe d'apprentissage;Trésorerie;Trésorerie en jours de charges décaissables;Valorisation;rce;vague;typologie;code du groupe;groupe;uai actuel;etablissement;code de la commune;commune;code de l'academie;academie;code de la region;region
0753480A;2014;3959880.24;0.0;0.0;1189617.0;187029.95;-5623955.7;9.31879406;3440285.13;33476422.33;90.67849721;8737115.77;23.66646352;77207.0;24237722.71;65.65337985;259.08;2912128.97;166.4256318;15475929.82;13556.0;5609369.46;;36917707.46;15.19425188;1728358.23;;;;;21099885.52;226.9047365;15811.06;2012;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753480A;Collège de France;75105;Paris 5e;A01;Paris;R11;Île-de-France
0753486G;2014;341638.64;596429.44;1626873.56;534107.8;238828.29;-4704532.79;1.935195223;690557.47;34991348.5;98.05858803;3521551.48;9.86867842;95594.17;30903673.86;86.60342495;284985.79;769402.16;22.88137993;2224028.72;166415.48;4104676.36;;35684124.36;11.50280814;59501.58;;164739.67;313137.76;5263.77;6928561.51;71.2828242;694.35;2013;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0753486G;École pratique des hautes études;75114;Paris 14e;A01;Paris;R11;Île-de-France
0761904G;2014;10344614.0;0.0;34909.41;3224948.37;2602832.65;-11903010.74;5.683132152;10932519.8;188063182.8;97.76226712;21665663.18;11.26262099;2705724.9;160937889.3;83.66152632;4583641.48;16727020.66;39.42012314;20592982.85;3085548.2;21837957.03;;192367861.7;11.35218577;5942395.74;;1957235.83;1525431.96;1219898.75;32495993.59;62.20546476;127543.27;2011;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0761904G;Université de Rouen;76451;Mont-Saint-Aignan;A21;Rouen;R28;Normandie
0762762P;2014;1818968.55;191387.74;0.0;1687470.52;682480.0;-684106.48;3.291355784;2198720.27;64591582.7;96.68982553;7656754.73;11.46171448;334276.01;54990679.94;82.31783504;;3284488.09;40.21210875;7214899.3;1187095.73;8641887.43;;66802874.39;12.93640058;876420.21;;2315686.09;319240.01;995069.85;7899005.78;44.02496366;60.0;2011;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0762762P;Université du Havre;76351;Le Havre;A21;Rouen;R28;Normandie
0772502B;2014;4792872.01;1388508.67;0.0;1490346.61;1335393.39;-6701416.86;1.001450378;871135.63;85359533.98;98.12862044;10773255.96;12.38484673;577250.38;69878321.07;80.331545;1910032.71;5200265.97;50.85187856;12057479.6;1552373.21;15895392.39;;86987398.37;18.27321277;;;645382.53;487024.18;702225.85;18758896.46;79.11480312;805.16;2009;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0772502B;Université Paris-Est Marne-la-Vallée;77083;Champs-sur-Marne;A24;Créteil;R11;Île-de-France
0830766G;2014;3313557.87;251859.87;0.0;2122440.76;2174076.41;-4541296.32;3.338734987;2445614.4;70683167.27;96.49614574;8953180.04;12.22281626;351803.52;61104533.27;83.41946429;1207040.19;3044478.61;51.82097842;10174641.35;1245292.27;8801552.81;;73249731.09;12.01581587;1029393.57;;904926.87;136699.18;399951.55;14715937.67;74.95048349;7462.19;2012;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0830766G;Université de Toulon;83062;La Garde;A23;Nice;R93;Provence-Alpes-Côte d'Azur
0911101C;2014;;1802864.79;0.0;1453176.46;1223291.58;-36973230.47;;;;;;;518919.44;;;;;;35490796.05;;8038880.75;;;;;;275597.94;2203854.83;;72464026.52;;59726.19;2010;E;scientifique et/ou médicale;GR13;universités scientifiques et/ou médicales;0911101C;Université Paris-Sud;91471;Orsay;A25;Versailles;R11;Île-de-France
0922605G;2014;151661.69;0.0;0.0;214457.3;;-494780.34;1.320426477;24666.95;1824236.82;97.65174038;1549070.34;82.92202691;116994.11;211296.44;11.31073821;;22080.76;98.05484137;496875.7;73545.05;1457876.77;;1868104.77;78.04041794;;;;;17337.24;993241.69;196.0090951;61575.0;;D;autres établissements;GR60;autres établissements d'enseignement et de recherche;0922605G;Institut national supérieur de formation et de recherche pour l'éducation des jeunes handicapés et les enseignements adaptés;92073;Suresnes;A25;Versailles;R11;Île-de-France
0930603A;2014;1468394.66;101494.66;458806.48;345331.21;171897.72;-2814412.3;9.588114576;437058.0;4110873.53;90.18374315;2015417.83;44.21394202;454831.46;1722228.09;37.78198832;192890.8;538620.3;73.87561339;843592.51;330667.48;2397876.53;;4558331.01;52.60426513;34336.43;;17175.0;56136.52;214241.2;3658004.81;320.3410959;;;D;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0930603A;Institut supérieur de mécanique de Paris;93070;Saint-Ouen;A24;Créteil;R11;Île-de-France
0932066R;2014;183140.69;0.0;0.0;67728.59;99870.32;-89488.09;7.626292021;389376.59;4713679.5;92.32166824;3852548.62;75.45564257;261652.52;823960.15;16.13800336;;418577.46;150.0152636;1964232.98;;1077567.09;;5105713.09;21.10512422;195037.56;;;;602812.35;2053721.07;156.8497784;;;E;autres établissements;GR60;autres établissements d'enseignement et de recherche;0932066R;École nationale supérieure Louis Lumière;93051;Noisy-le-Grand;A24;Créteil;R11;Île-de-France
1260001S;2014;135754.86;0.0;0.0;262435.18;5000.0;27081.09;6.148979606;351002.72;5354838.39;93.80779743;1418882.81;24.85644972;;3931073.22;68.86581694;;332708.09;153.4031345;2281802.76;;386091.41;;5708308.41;6.76367467;222917.68;;;;;2254721.67;151.582502;114956.23;;;école française à l'étranger;GR40;écoles françaises à l'étranger;1260001S;École française d'Athènes;;Athènes;A99;Étranger;R99;Étranger
7200664J;2014;11025613.0;;;;;17312311.0;2.28348847290459;1190234.0;47403485.0;90.9445634833198;;;;38396079.0;73.663669329925;;;146.0;19238382.0;;;;52123495.0;31.7020376319738;841716.0;;;;;1926071.0;15.0;;2009;C;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;7200664J;Université de Corse Pasquale Paoli;2B096;Corte;A27;Corse;R94;Corse
0130221V;2015;268794.0;0.0;0.0;73001.18;127901.56;-674995.0;16.0660817460294;798469.0;4171435.0;83.9338981328617;1473571.04;29.64988834;57473.0;2467800.0;49.6548726786528;116727.83;1171329.08;254.0;2939459.0;1978556.72;3337279.47;;4969905.0;67.1497744926714;444083.0;;193324.77;67651.42;209069.3;3614454.0;312.0;;;C;institut d'études politiques;GR20;instituts d'études politiques;0130221V;Institut d'études politiques d'Aix-en-Provence;13001;Aix-en-Provence;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur
0141408E;2015;7664787.0;859282.11;0.0;5139859.14;3052524.26;-8759668.0;2.06564126168767;4378366.0;204269568.0;96.3710316058353;25805014.92;12.17438277;2074158.75;176717016.0;83.3721895090359;4033928.03;6905337.37;21.0;11702788.0;6846208.8;31646833.22;;211961587.0;14.9304567152538;1976087.0;;4403936.08;1488445.49;2579058.03;20462456.0;36.0;70827.61;2011;B;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0141408E;Université de Caen Normandie;14118;Caen;A05;Caen;R28;Normandie
0261465B;2015;62786.0;0.0;0.0;179850.75;256000.0;56097.0;1.09279774235192;17472.0;1581360.0;98.9072022576481;276049.27;17.26567576;;884626.0;55.3295155463488;;;106.0;466560.0;;1322892.7;;1598832.0;82.7411510402594;;;;;;410463.0;93.0;865860.0;;C;autres établissements;GR60;autres établissements d'enseignement et de recherche;0261465B;Agence de développement universitaire Drôme-Ardèche (ADUDA);;;;;;
0311381H;2015;6689672.0;2945678.84;723061.26;7359485.32;2674422.58;-8647033.0;2.08365834532059;1824603.0;85221872.0;97.3215898453764;16447670.74;18.78289492;5336338.52;62539247.0;71.4185079831699;4824949.39;4782600.44;99.0;23440916.0;2694593.01;33643209.96;;87567283.0;36.7976644884597;243962.0;;2994772.86;997771.67;2418735.8;32087949.0;136.0;119497.59;2010;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0311381H;Institut national polytechnique de Toulouse;31555;Toulouse;A16;Toulouse;R76;Occitanie
0333232J;2015;2764244.47;0.0;0.0;2314492.9;1136065.07;258005.69;4.72829009691103;735519.19;11703100.0;75.233457652083;5220988.8;40.90151193;544452.6;5136789.57;33.0218865584552;792038.65;1694861.55;227.0;7368657.0;533191.72;7404823.81;;15555712.0;65.543472969929;;;544508.17;50856.31;316358.73;7110651.31;219.0;;;A;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0333232J;Institut polytechnique de Bordeaux;33522;Talence;A04;Bordeaux;R75;Nouvelle-Aquitaine
0340112M;2015;605801.0;1036698.03;0.0;449437.7;170379.2;-1887372.0;0.462432600406497;49554.0;10664402.0;99.5190529248951;2497991.67;23.31099049;567935.53;7872887.0;73.4689350630929;139903.14;182938.82;100.0;2961702.0;202227.65;3092783.64;;10715940.0;28.8615277801108;;;109079.75;231734.14;64653.27;4849074.0;164.0;1038.59;2011;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0340112M;École nationale supérieure de chimie de Montpellier;34172;Montpellier;A11;Montpellier;R76;Occitanie
0352317D;2015;193739.0;0.0;0.0;126117.81;410142.51;-720908.0;9.53122800901457;323707.0;3072572.0;90.4688014349827;1065028.83;31.35870277;;1501010.0;44.1957342714583;913749.92;780334.78;149.0;1274813.0;652959.96;2268527.34;;3396278.0;66.7945026879425;155298.0;;;;114770.82;1995721.0;234.0;;;B;institut d'études politiques;GR20;instituts d'études politiques;0352317D;Institut d'études politiques de Rennes;35238;Rennes;A14;Rennes;R53;Bretagne
0381839T;2015;5374081.0;;;;;-4358752.0;;;114321445.0;101.242710220697;;;;92012950.0;81.4863775856007;;;76.0;24001201.0;;;;112918199.0;23.8529982221909;;;;;;28359953.0;89.0;;2011;A;tertiaire (droit et économie);GR14;universités tertiaires (droit et économie);0383493R;Université GRENOBLE 2 - PIERRE MENDÈS FRANCE;;;;;;
0511296G;2015;8875728.0;0.0;0.0;3123862.2;3726150.78;-10171325.0;1.21538727527006;2265048.0;183741883.0;98.5928538964123;19987429.35;10.65848074;1545553.46;159822299.0;85.7580009381732;4463925.23;5353107.36;30.0;15422239.0;3878954.47;26291660.32;;186364301.0;13.508786749883;;;4284633.79;1085757.91;2299613.82;25593564.0;50.0;183878.22;2011;C;pluridisciplinaire avec santé;GR11;universités pluridisciplinaires avec santé;0511296G;Université de Reims Champagne-Ardenne;51454;Reims;A19;Reims;R44;Grand Est
0590349J;2015;5017123.0;0.0;0.0;497235.63;1012789.45;74990.0;;;22470586.0;101.567281959106;4033625.18;18.22807167;1750301.57;18142883.0;82.0060194786231;1182820.21;44758.49;57.0;3533046.0;578304.21;6400593.03;;22123843.0;28.9090462267338;;;238814.76;379584.98;418890.56;3458056.0;55.0;140.0;2012;E;école d'ingénieurs et assimilés;GR50;écoles d'ingénieurs;0590349J;École centrale de Lille;59009;Villeneuve-d'Ascq;A09;Lille;R32;Hauts-de-France
0623957P;2015;7195292.0;82133.44;63324.31;1727785.81;2335901.42;-5370337.0;;;113553494.0;124.836865334696;10336742.15;11.35407535;557572.8;94068767.0;103.41601640351;1185856.0;;68.0;21528784.0;3188922.48;11167178.35;;90961507.0;12.1648017550985;;;642345.4;453345.86;737421.86;26899121.0;85.0;36756.82;2011;E;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0623957P;Université d'Artois;62041;Arras;A09;Lille;R32;Hauts-de-France
0631525R;2015;5125809.0;;1484880.91;3696569.35;3662780.89;-5699179.0;3.24357277371578;5139383.0;153358399.0;96.7877131587665;20313858.27;12.81390839;2697697.17;130293667.0;82.231075377879;2530319.34;6804719.14;21.0;9036394.0;2008513.32;23524034.74;;158448210.0;14.6310153961348;2146084.0;;1314445.58;3445691.94;610366.4;14735573.0;35.0;104021.13;2010;B;pluridisciplinaire sans santé;GR12;universités pluridisciplinaires sans santé;0632035V;Université CLERMONT-FERRAND 2 - BLAISE PASCAL;;;;;;
